,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
75,Bethel,90,US,1537501980,86,60.79,-161.76,284.25,4.1
76,Samarkand,0,UZ,1537500600,48,39.65,66.98,291.15,1.0
77,Hasaki,75,JP,1537501560,100,35.73,140.83,293.15,7.2
78,Narsaq,24,GL,1537501800,55,60.91,-46.05,276.15,2.6
79,Nelson Bay,0,AU,1537502400,45,-32.72,152.14,292.15,6.2
80,Thompson,40,CA,1537498800,85,55.74,-97.86,273.15,1.0
81,Muli,0,IN,1537503548,63,22.62,71.45,300.291,4.76
82,Am Timan,0,TD,1537503596,80,11.04,20.28,294.991,1.26
83,Tiarei,40,PF,1537502400,69,-17.53,-149.33,298.15,3.1
84,Tucupita,80,VE,1537503608,83,9.06,-62.05,299.791,2.81
85,Avarua,75,CK,1537502400,60,-21.21,-159.78,296.15,5.1
86,Port Moresby,40,PG,1537502400,78,-9.47,147.16,301.15,7.2
87,Sola,75,NO,1537501800,87,58.89,5.65,283.15,5.1
88,Tura,68,IN,1537503634,92,25.52,90.21,299.641,2.46
89,Tasiilaq,0,GL,1537501800,69,65.61,-37.64,275.15,5.7
90,Fox Lake,40,US,1537501920,90,43.68,-94.66,291.45,7.2
91,Sioux Lookout,90,CA,1537502940,93,50.1,-91.92,282.15,3.1
92,Wuwei,0,CN,1537503672,72,37.93,102.64,283.941,1.86
93,Souillac,0,FR,1537502400,93,45.6,-0.6,292.15,4.1
94,Qaanaaq,32,GL,1537503685,100,77.48,-69.36,265.891,4.21
95,Yuzhno-Kurilsk,0,RU,1537503691,93,44.03,145.86,290.741,4.76
96,Port Augusta,0,AU,1537502400,52,-32.49,137.76,293.15,5.7
97,Husavik,92,CA,1537503705,68,50.56,-96.99,283.641,6.11
98,Malinyi,0,TZ,1537503711,75,-8.94,36.14,295.041,1.51
99,Nemuro,20,JP,1537498800,30,43.32,145.57,295.15,1.5
100,Castro,80,CL,1537503716,94,-42.48,-73.76,281.941,6.36
101,Nanakuli,75,US,1537502220,69,21.39,-158.15,301.45,3.6
102,Solnechnyy,0,RU,1537503750,50,50.72,136.64,289.691,1.61
103,Georgetown,0,GY,1537498800,94,6.8,-58.16,298.15,2.31
104,Dikson,88,RU,1537503763,96,73.51,80.55,277.591,6.71
105,Khatanga,92,RU,1537503769,94,71.98,102.47,279.291,7.96
106,Itupiranga,0,BR,1537502400,88,-5.13,-49.33,298.15,1.0
107,Saint-Georges,76,CA,1537503740,89,46.12,-70.67,281.591,1.21
108,Camapua,0,BR,1537503788,88,-19.53,-54.04,293.241,1.11
109,Shu,76,KZ,1537503795,95,43.6,73.76,288.841,2.71
110,Talaya,24,RU,1537503801,52,55.79,84.89,284.341,4.56
111,Severo-Kurilsk,88,RU,1537503807,100,50.68,156.12,283.241,7.01
112,El Tigre,20,VE,1537503826,79,8.89,-64.25,298.291,5.91
113,Constitucion,75,MX,1537497840,52,23.99,-104.67,292.15,2.6
114,Luderitz,48,NA,1537503838,74,-26.65,15.16,286.491,9.81
115,Sambava,92,MG,1537503845,100,-14.27,50.17,295.841,6.71
116,Mantua,0,IT,1537501800,93,45.16,10.79,292.15,0.5
117,Kirakira,48,SB,1537503857,100,-10.46,161.92,301.291,1.51
118,Davila,40,PH,1537502400,74,18.47,120.58,304.15,4.1
119,Conway,1,US,1537502160,88,35.09,-92.44,298.75,2.41
120,Viedma,24,AR,1537503876,46,-40.81,-62.99,287.191,6.81
121,Ulladulla,0,AU,1537498800,24,-35.36,150.48,293.15,2.1
122,Pingliang,0,CN,1537503901,54,35.54,106.68,289.591,3.06
123,Hobart,40,AU,1537502400,42,-42.88,147.33,292.15,6.7
124,Buraydah,0,SA,1537498800,38,26.33,43.97,298.15,1.0
125,Provideniya,90,RU,1537500600,87,64.42,-173.23,282.15,1.0
126,General Roca,0,AR,1537498800,35,-39.03,-67.58,289.15,8.7
127,Margate,40,AU,1537502400,42,-43.03,147.26,292.15,6.7
128,Mahebourg,40,MU,1537498800,69,-20.41,57.7,296.15,4.1
129,Fairbanks,75,US,1537502160,92,64.84,-147.72,282.05,1.5
130,Yumen,0,CN,1537503758,48,40.29,97.04,282.791,2.41
131,Coquimbo,0,CL,1537498800,71,-29.95,-71.34,287.15,3.6
132,Batagay-Alyta,0,RU,1537503991,79,67.8,130.41,273.041,1.86
133,Cidreira,92,BR,1537503998,99,-30.17,-50.22,288.541,4.66
134,Chokurdakh,88,RU,1537504004,100,70.62,147.9,276.991,1.96
135,Leeton,0,AU,1537504011,87,-34.55,146.4,290.291,2.31
136,San Jeronimito,8,MX,1537504017,96,17.55,-101.33,301.541,3.21
137,Te Anau,44,NZ,1537504024,81,-45.41,167.72,283.291,1.56
138,Ucluelet,92,CA,1537504031,100,48.94,-125.55,283.041,1.21
139,Hilo,75,US,1537501980,76,19.71,-155.08,299.85,5.91
140,Acaponeta,8,MX,1537504044,86,22.49,-105.36,301.891,4.36
141,Chicama,75,PE,1537502400,93,-7.84,-79.15,289.15,2.6
142,Pevek,56,RU,1537504057,91,69.7,170.27,281.291,3.11
143,Umm Lajj,48,SA,1537504064,100,25.02,37.27,299.441,3.66
144,Arraial do Cabo,92,BR,1537504070,100,-22.97,-42.02,294.041,4.21
145,Sao Filipe,8,CV,1537503900,99,14.9,-24.5,298.341,5.41
146,Yeniseysk,0,RU,1537504083,77,58.45,92.17,282.241,2.26
147,Kodiak,90,US,1537503300,86,39.95,-94.76,294.85,6.7
148,Basoko,8,CD,1537504097,96,1.23,23.61,295.641,1.21
149,Marawi,44,PH,1537503873,78,8.0,124.29,299.241,1.66
150,Jimo,75,CN,1537498800,73,36.39,120.46,297.15,3.0
151,Kant,44,KG,1537504117,79,42.89,74.85,279.691,0.51
152,Mar del Plata,24,AR,1537503826,93,-46.43,-67.52,280.091,2.11
153,San Policarpo,80,PH,1537504130,97,12.18,125.51,301.591,3.01
154,Starosubkhangulovo,92,RU,1537504137,99,53.1,57.43,280.041,3.81
155,Kruisfontein,0,ZA,1537504143,100,-34.0,24.73,283.241,4.86
156,Hualmay,32,PE,1537504150,97,-11.1,-77.61,285.141,1.76
157,Acapulco,75,MX,1537501560,83,16.86,-99.88,302.15,2.6
158,Flinders,0,AU,1537498800,24,-34.58,150.85,293.15,2.1
159,Hobyo,0,SO,1537504169,87,5.35,48.53,296.941,8.86
160,Dutlwe,12,BW,1537504189,61,-23.98,23.93,289.491,6.06
161,Lorengau,24,PG,1537504195,96,-2.02,147.27,302.591,4.21
162,Marrakesh,20,MA,1537502400,77,31.63,-7.99,294.15,1.5
163,Maple Creek,0,CA,1537504209,75,49.91,-109.46,274.763,1.15
164,Walvis Bay,0,NA,1537502400,81,-22.95,14.51,285.15,5.7
165,Namyslow,0,PL,1537502400,93,51.08,17.72,287.15,3.1
166,Alofi,24,NU,1537502400,78,-19.06,-169.92,298.15,6.2
167,Faya,0,SA,1537502400,22,18.39,42.45,293.15,1.95
168,Naze,92,NG,1537504242,100,5.43,7.07,296.363,2.7
169,Richards Bay,24,ZA,1537504248,77,-28.77,32.06,292.863,4.9
170,Dafeng,80,CN,1537504255,86,33.2,120.46,298.063,4.05
171,Locri,40,IT,1537501800,94,38.24,16.26,294.15,1.5
172,Monywa,48,MM,1537504268,87,22.12,95.13,302.213,0.85
173,Marsh Harbour,0,BS,1537504274,100,26.54,-77.06,301.963,3.1
174,Tevaitoa,68,PF,1537504281,100,-16.78,-151.5,297.713,9.55
175,Uvinza,0,TZ,1537504287,38,-5.1,30.39,296.913,2.85
176,College,75,US,1537502160,92,64.86,-147.8,282.05,1.5
177,Inhambane,76,MZ,1537504300,86,-23.87,35.38,297.663,2.35
178,Ostrowiec Swietokrzyski,0,PL,1537504308,74,50.93,21.39,288.463,1.3
179,Ancud,92,CL,1537504154,94,-41.87,-73.83,282.341,6.01
180,Vila Velha,75,BR,1537502400,78,-3.71,-38.6,299.15,8.2
181,Omsukchan,88,RU,1537504327,91,62.53,155.8,277.713,1.85
182,Saint-Francois,0,FR,1537502400,67,46.42,3.91,290.15,1.5
183,Ordynskoye,8,RU,1537504340,48,54.37,81.9,293.413,6.7
184,Prince Rupert,75,CA,1537502400,71,54.32,-130.32,285.15,3.1
185,Ilulissat,0,GL,1537501800,68,69.22,-51.1,270.15,3.6
186,Clyde River,90,CA,1537503120,92,70.47,-68.59,272.15,1.5
187,Cap Malheureux,40,MU,1537502400,64,-19.98,57.61,297.15,5.1
188,Natal,40,BR,1537502400,78,-5.81,-35.21,298.15,4.6
189,Cikupa,20,ID,1537504392,63,-7.49,108.52,303.163,1.7
190,Masasi,20,TZ,1537504399,76,-10.73,38.81,297.113,1.95
191,Agnibilekrou,88,CI,1537504418,91,7.13,-3.2,296.113,3.2
192,Luganville,80,VU,1537504424,97,-15.51,167.18,300.513,3.15
193,Orange,0,AU,1537504431,69,-33.28,149.1,288.363,2.3
194,Dauphin,90,CA,1537502400,81,51.15,-100.04,280.15,2.6
195,Taiyuan,0,CN,1537500600,18,37.86,112.56,294.15,9.0
196,Tamandare,8,BR,1537504450,95,-8.28,-70.75,296.713,1.15
197,Kaitangata,36,NZ,1537504450,68,-46.28,169.85,284.313,4.4
198,Key Largo,40,US,1537502160,78,25.09,-80.45,301.05,2.6
199,Kisangani,8,CD,1537504483,91,0.52,25.21,298.363,1.3
200,Eureka,1,US,1537502100,85,40.8,-124.16,285.15,1.5
201,Shelburne,90,CA,1537502400,87,44.08,-80.2,291.15,2.6
202,Oranjemund,0,ZA,1537504502,95,-28.55,16.43,287.063,14.3
203,Bathsheba,75,BB,1537502400,78,13.22,-59.52,301.15,8.2
204,Ocos,90,GT,1537499880,94,14.51,-92.19,298.15,2.5
205,Upernavik,0,GL,1537504535,100,72.79,-56.15,271.263,2.2
206,Sitka,20,US,1537504541,98,37.17,-99.65,291.463,0.75
207,Monrovia,75,LR,1537498800,94,6.33,-10.8,297.15,1.6
208,Port Elizabeth,90,US,1537502160,96,39.31,-74.98,293.65,2.3
209,Cabo San Lucas,5,MX,1537501380,88,22.89,-109.91,299.15,3.6
210,Oruro,0,BO,1537504567,100,-17.97,-67.11,273.663,1.35
211,Sicamous,75,CA,1537502400,87,50.84,-118.99,283.15,1.0
212,Adolfo Lopez Mateos,20,MX,1537504580,96,26.8,-109.39,295.563,1.15
213,Portobelo,20,PA,1537502400,94,9.55,-79.65,299.15,1.5
214,Shihezi,44,CN,1537504606,51,44.3,86.03,291.463,4.1
215,Egvekinot,48,RU,1537504613,98,66.32,-179.17,279.163,0.95
216,Longyearbyen,75,NO,1537501800,100,78.22,15.63,273.15,7.7
217,Nyurba,0,RU,1537504626,47,63.29,118.35,284.613,1.75
218,Shingu,75,JP,1537502400,83,33.72,135.99,299.15,3.6
219,Tabory,0,PL,1537504639,62,53.89,19.53,292.863,5.85
220,Yantal,0,RU,1537504645,61,56.85,105.25,283.163,1.75
221,Kapaa,40,US,1537502160,96,22.08,-159.32,303.15,4.1
222,Vardo,90,US,1537503300,78,39.62,-77.74,296.45,3.6
223,Togur,36,RU,1537504665,50,58.36,82.83,287.963,5.15
224,Salalah,0,OM,1537501800,73,17.01,54.1,297.15,0.5
225,Riohacha,48,CO,1537504691,100,11.54,-72.91,299.563,4.8
226,Waipawa,88,NZ,1537504697,78,-39.94,176.59,285.963,3.1
227,Uyuni,0,BO,1537504704,52,-20.46,-66.82,267.413,1.15
228,Innisfail,90,CA,1537502400,93,52.02,-113.95,276.15,5.1
229,Veraval,64,FR,1537502400,87,49.65,0.71,289.15,9.8
230,Aksu,90,KZ,1537502400,87,52.04,76.93,285.15,3.0
231,Kushiro,20,JP,1537502400,48,43.11,144.15,292.15,5.7
232,Ponta do Sol,88,BR,1537504762,98,-20.63,-46.0,289.863,1.05
233,Padang,44,ID,1537504769,100,-0.92,100.36,300.913,3.65
234,Necochea,92,AR,1537504775,55,-38.55,-58.74,288.413,3.5
235,Elko,1,US,1537502160,10,40.83,-115.76,284.25,1.15
236,Kahului,40,US,1537502160,67,20.89,-156.47,303.15,4.1
237,Nome,40,US,1537503300,86,30.04,-94.42,300.15,3.1
238,Ixtapa,40,MX,1537501320,100,20.71,-105.21,301.15,2.1
239,Kalmunai,20,LK,1537504807,69,7.42,81.82,303.813,7.5
240,Katsuura,75,JP,1537503060,88,33.93,134.5,298.15,3.6
241,Nioro,20,GM,1537504820,89,13.79,-15.05,297.063,1.2
242,Spornoye,0,RU,1537502400,82,50.84,37.29,288.15,2.0
243,Chatellerault,90,FR,1537504200,88,46.8,0.53,292.15,6.7
244,Pacific Grove,1,US,1537502100,75,36.62,-121.92,292.15,0.05
245,Awjilah,0,LY,1537504846,74,29.14,21.3,293.863,4.65
246,Nouadhibou,56,MR,1537502400,65,20.93,-17.03,299.15,6.7
247,Weiser,1,US,1537501980,43,44.25,-116.97,287.55,1.05
248,Ulaanbaatar,75,MN,1537504200,59,47.92,106.92,276.15,8.0
249,Port-Cartier,90,CA,1537502400,93,50.03,-66.88,279.15,3.1
250,Isangel,88,VU,1537504904,100,-19.55,169.27,295.863,5.95
251,Havelock,1,US,1537502160,92,34.88,-76.9,295.95,1.5
252,Cabedelo,75,BR,1537502400,94,-6.97,-34.84,296.15,3.1
253,Tommot,0,RU,1537504923,55,58.97,126.27,283.313,1.5
254,Save,8,BJ,1537504930,93,8.04,2.49,296.363,2.15
255,Leh,0,IN,1537504937,39,34.16,77.58,276.913,0.7
256,Saint-Philippe,1,CA,1537504500,95,45.36,-73.48,288.15,2.6
257,Svetlaya,0,RU,1537504950,87,46.54,138.33,290.213,3.3
258,Aksarka,0,RU,1537504956,100,66.56,67.8,282.513,1.75
259,Kavieng,44,PG,1537504963,100,-2.57,150.8,302.063,2.05
260,Leirvik,75,NO,1537503600,87,59.78,5.5,282.15,6.7
261,Saint-Pierre,0,FR,1537504200,72,48.95,4.24,292.15,7.2
262,Saldanha,0,PT,1537504983,84,41.42,-6.55,281.413,1.4
263,Ormara,48,PK,1537504989,87,25.21,64.64,299.813,0.7
264,Kasongo-Lunda,0,CD,1537504996,92,-6.48,16.82,294.163,1.15
265,Ambanja,20,MG,1537502400,100,-13.68,48.45,295.15,1.0
266,Grindavik,40,IS,1537502400,74,63.84,-22.43,276.15,9.8
267,Cockburn Town,56,TC,1537505028,99,21.46,-71.14,301.313,6.85
268,Yar-Sale,0,RU,1537505035,98,66.83,70.83,283.163,1.95
269,Birao,0,CF,1537505041,88,10.3,22.78,298.713,1.95
270,Sarany,8,RU,1537505048,92,58.55,58.76,284.563,2.65
271,Khani,12,GE,1537504200,100,41.96,42.96,288.15,1.0
272,Lenine,0,UA,1537505061,93,45.3,35.78,295.513,5.1
273,Kirksville,1,US,1537502100,64,40.19,-92.58,300.35,6.2
274,Airai,0,TL,1537505074,33,-8.93,125.41,303.063,1.3
275,Mangrol,32,IN,1537505081,62,25.33,76.51,305.063,5.65
276,Marsabit,0,KE,1537505100,66,2.34,37.99,297.113,7.5
277,Kendari,20,ID,1537505107,52,-3.99,122.52,303.463,2.65
278,Sergeyevka,92,KZ,1537505113,91,53.88,67.42,286.463,2.75
279,Bilma,88,NE,1537505120,19,18.69,12.92,300.613,3.15
280,Faanui,92,PF,1537505126,100,-16.48,-151.75,297.713,9.1
281,Lardos,20,GR,1537503600,83,36.09,28.02,296.15,4.1
282,Avera,1,US,1537502100,72,33.19,-82.53,299.15,3.1
283,Mbandaka,68,CD,1537505159,95,0.05,18.26,295.863,1.2
284,Tiksi,44,RU,1537505165,96,71.64,128.87,274.513,1.7
285,Angoche,68,MZ,1537505172,100,-16.23,39.91,298.363,4.4
286,Orange Cove,1,US,1537502160,51,36.62,-119.31,300.95,1.05
287,Chuy,0,UY,1537505185,92,-33.69,-53.46,283.913,3.9
288,Tautira,40,PF,1537502400,69,-17.73,-149.15,298.15,3.1
289,Lindon,1,US,1537504500,7,40.34,-111.72,288.75,3.1
290,Nanortalik,64,GL,1537505229,99,60.14,-45.24,275.813,7.7
291,Mbaiki,36,CF,1537505236,93,3.87,17.99,295.863,1.2
292,Strezhevoy,0,RU,1537502400,70,60.73,77.6,282.15,5.0
293,Hohhot,0,CN,1537502400,28,40.81,111.65,286.15,9.0
294,Pisco,90,PE,1537502400,82,-13.71,-76.2,289.15,2.1
295,Bealanana,0,MG,1537505262,47,-14.54,48.75,295.963,2.2
296,Kidal,64,ML,1537505269,44,18.44,1.41,297.313,2.0
297,Guerrero Negro,0,MX,1537505275,100,27.97,-114.04,291.963,2.5
298,General Pico,0,AR,1537505295,44,-35.66,-63.75,290.413,7.0
299,Leninsk,0,RU,1537502400,82,48.69,45.2,288.15,4.0
300,Miri,64,NG,1537505308,77,10.31,9.75,294.913,1.2
301,Chitral,88,PK,1537505314,46,35.85,71.79,281.563,0.4
302,Greystones,20,IE,1537504200,87,53.14,-6.06,280.15,6.7
303,Mezen,8,RU,1537505327,92,65.85,44.24,284.863,4.35
304,Hamilton,75,CA,1537504680,88,43.26,-79.87,293.15,4.1
305,Suamico,90,US,1537504500,93,44.63,-88.04,297.15,5.1
306,San Quintin,40,PH,1537502400,74,17.54,120.52,304.15,4.1
307,Aksarayskiy,0,RU,1537502400,55,46.79,48.01,290.15,3.0
308,Paamiut,88,GL,1537505360,100,61.99,-49.67,276.213,7.05
309,Ubaitaba,100,BR,1537505367,100,-14.31,-39.32,294.313,1.45
310,Dingle,80,PH,1537505373,92,11.0,122.67,300.113,2.1
311,Erenhot,64,CN,1537505380,32,43.65,111.97,286.063,10.7
312,Klaksvik,92,FO,1537503600,87,62.23,-6.59,279.15,9.8
313,Vaitape,76,PF,1537505393,100,-16.52,-151.75,298.013,10.55
314,Lincoln,48,GB,1537503600,76,53.23,-0.54,284.15,8.2
315,Kavaratti,76,IN,1537505406,100,10.57,72.64,300.813,6.25
316,Nicoya,40,CR,1537506000,94,10.15,-85.45,297.15,1.5
317,Boca do Acre,12,BR,1537505419,93,-8.76,-67.39,297.463,0.85
318,Kawalu,0,ID,1537505438,73,-7.38,108.21,299.113,1.3
319,Lethem,8,GY,1537505445,66,3.38,-59.8,300.663,4.2
320,Daru,92,SL,1537505451,99,7.99,-10.85,294.513,1.3
321,San Cristobal,20,EC,1537502400,81,-0.39,-78.55,283.15,5.1
322,Yangambi,12,CD,1537505465,89,0.77,24.47,298.363,1.35
323,Karratha,0,AU,1537505471,8,-20.74,116.85,305.313,4.85
324,Trelew,24,AR,1537505194,42,-43.25,-65.31,282.713,5.1
325,Beaverlodge,75,CA,1537502400,55,55.21,-119.43,274.15,4.1
326,Sao Felix do Xingu,0,BR,1537505491,89,-6.64,-51.99,296.763,0.9
327,Rampur,0,IN,1537505497,84,28.8,79.03,304.813,3.2
328,Dunedin,0,NZ,1537505504,72,-45.87,170.5,283.413,3.1
329,Enkhuizen,75,NL,1537503900,72,52.7,5.29,292.15,14.4
330,Ulaangom,0,MN,1537505517,55,49.98,92.07,282.163,1.3
331,Yairipok,75,IN,1537504200,74,24.67,94.07,300.15,3.6
332,Saint Anthony,1,US,1537502160,8,43.97,-111.68,286.45,4.6
333,Taltal,0,CL,1537505537,87,-25.41,-70.49,283.163,0.95
334,Aranos,80,NA,1537505543,16,-24.14,19.11,290.813,2.25
335,Yuanping,0,CN,1537505550,44,38.72,112.71,285.713,4.4
336,Mursalimkino,92,RU,1537505556,99,55.04,58.56,283.113,1.85
337,Darnah,0,LY,1537505588,100,32.77,22.64,297.463,2.85
338,Yilan,40,TW,1537502400,66,24.75,121.75,306.15,3.6
339,Mokobeng,76,BW,1537505601,75,-23.0,27.67,290.413,4.25
340,Rock Sound,8,BS,1537505608,98,24.9,-76.2,302.513,4.75
341,Wundanyi,76,KE,1537505614,78,-3.4,38.37,295.213,1.75
342,Staroaleyskoye,92,RU,1537505621,63,51.01,82.0,290.213,5.3
343,Maceio,75,BR,1537502400,83,-9.67,-35.74,297.15,4.6
344,Biak,80,ID,1537505634,81,-0.91,122.88,300.013,4.0
345,Santa Isabel do Rio Negro,12,BR,1537505640,93,-0.41,-65.02,298.263,1.6
346,Dombarovskiy,64,RU,1537505647,64,50.76,59.54,285.913,5.8
347,Arlit,8,NE,1537505653,31,18.74,7.39,295.913,1.35
348,Vostok,0,RU,1537505606,50,46.45,135.83,291.313,1.6
349,Erzin,40,TR,1537503600,88,36.95,36.2,298.15,2.6
350,Mhlume,12,SZ,1537502400,76,-26.03,31.81,286.15,1.85
351,Leningradskiy,20,RU,1537505421,86,69.38,178.42,279.663,2.7
352,Mikhaylovka,0,RU,1537505686,59,52.96,103.29,284.813,2.95
353,Mufumbwe,0,ZM,1537505693,44,-13.68,24.8,293.413,5.45
354,Bucerias,40,MX,1537501320,100,20.76,-105.33,301.15,2.1
355,Auckland,80,NZ,1537504200,82,-36.85,174.77,288.15,5.1
356,Touros,32,BR,1537505540,93,-5.2,-35.46,297.613,6.25
357,Broome,44,GB,1537503600,82,52.47,1.45,286.55,11.3
358,Hambantota,92,LK,1537505726,100,6.12,81.12,299.613,6.7
359,Soyo,64,AO,1537505732,88,-6.13,12.37,296.163,1.85
360,Tezu,64,IN,1537505739,80,27.93,96.16,296.613,0.6
361,Tarauaca,8,BR,1537505745,95,-8.16,-70.77,296.713,1.15
362,Hwange,0,ZW,1537505752,42,-18.35,26.5,296.463,5.55
363,Saskylakh,64,RU,1537505758,87,71.97,114.09,277.263,6.6
364,Galle,40,US,1537503480,93,29.74,-97.91,298.75,3.6
365,San Jose,56,PH,1537505575,84,15.79,120.99,301.613,1.35
366,Grand Gaube,40,MU,1537502400,64,-20.01,57.66,297.15,5.1
367,Berlevag,0,NO,1537501800,87,70.86,29.09,281.15,4.1
368,Haifa,20,IL,1537501800,83,32.82,35.0,295.15,0.5
369,Sidhi,92,IN,1537505798,94,24.41,81.88,298.663,7.05
370,Ocampo,20,PH,1537505804,88,13.56,123.37,302.213,2.55
371,Araouane,0,ML,1537505811,35,18.9,-3.53,296.913,1.2
372,Lebu,44,ET,1537505817,69,8.96,38.73,289.413,1.75
373,Zeya,92,RU,1537505824,91,53.74,127.27,280.713,1.95
374,Freeport,0,BS,1537505830,93,26.54,-78.7,302.213,4.75
